Diagnóstico principal (CIE10MC);Sexo;Motivo del alta;Total
1504 Complicaciones del parto y del trabajo de parto O60-O77;Ambos sexos;traslado a otros centros;534
1504 Complicaciones del parto y del trabajo de parto O60-O77;Ambos sexos;fallecimiento;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Ambos sexos;otras causas;398
1504 Complicaciones del parto y del trabajo de parto O60-O77;Hombres;total;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Hombres;curación o mejoría;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Hombres;traslado a otros centros;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Hombres;fallecimiento;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Hombres;otras causas;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Mujeres;total;70.837
1504 Complicaciones del parto y del trabajo de parto O60-O77;Mujeres;curación o mejoría;69.905
1504 Complicaciones del parto y del trabajo de parto O60-O77;Mujeres;traslado a otros centros;534
1504 Complicaciones del parto y del trabajo de parto O60-O77;Mujeres;fallecimiento;..
1504 Complicaciones del parto y del trabajo de parto O60-O77;Mujeres;otras causas;398
1505 Parto en un caso totalmente normal O80;Ambos sexos;total;15.118
1505 Parto en un caso totalmente normal O80;Ambos sexos;curación o mejoría;14.942
1505 Parto en un caso totalmente normal O80;Ambos sexos;traslado a otros centros;77
1505 Parto en un caso totalmente normal O80;Ambos sexos;fallecimiento;..
1505 Parto en un caso totalmente normal O80;Ambos sexos;otras causas;98
1505 Parto en un caso totalmente normal O80;Hombres;total;..
1505 Parto en un caso totalmente normal O80;Hombres;curación o mejoría;..
1505 Parto en un caso totalmente normal O80;Hombres;traslado a otros centros;..
1505 Parto en un caso totalmente normal O80;Hombres;fallecimiento;..
1505 Parto en un caso totalmente normal O80;Hombres;otras causas;..
1505 Parto en un caso totalmente normal O80;Mujeres;total;15.118
1505 Parto en un caso totalmente normal O80;Mujeres;curación o mejoría;14.942
1505 Parto en un caso totalmente normal O80;Mujeres;traslado a otros centros;77
1505 Parto en un caso totalmente normal O80;Mujeres;fallecimiento;..
1505 Parto en un caso totalmente normal O80;Mujeres;otras causas;98
1506 Otros partos O82;Ambos sexos;total;2.529
1506 Otros partos O82;Ambos sexos;curación o mejoría;2.513
1506 Otros partos O82;Ambos sexos;traslado a otros centros;4
1506 Otros partos O82;Ambos sexos;fallecimiento;..
1506 Otros partos O82;Ambos sexos;otras causas;12
1506 Otros partos O82;Hombres;total;..
1506 Otros partos O82;Hombres;curación o mejoría;..
1506 Otros partos O82;Hombres;traslado a otros centros;..
1506 Otros partos O82;Hombres;fallecimiento;..
1506 Otros partos O82;Hombres;otras causas;..
1506 Otros partos O82;Mujeres;total;2.529
1506 Otros partos O82;Mujeres;curación o mejoría;2.513
1506 Otros partos O82;Mujeres;traslado a otros centros;4
1506 Otros partos O82;Mujeres;fallecimiento;..
1506 Otros partos O82;Mujeres;otras causas;12
1507 Complicaciones del puerperio O85-O92;Ambos sexos;total;3.890
1507 Complicaciones del puerperio O85-O92;Ambos sexos;curación o mejoría;3.792
1507 Complicaciones del puerperio O85-O92;Ambos sexos;traslado a otros centros;50
1507 Complicaciones del puerperio O85-O92;Ambos sexos;fallecimiento;..
1507 Complicaciones del puerperio O85-O92;Ambos sexos;otras causas;48
1507 Complicaciones del puerperio O85-O92;Hombres;total;..
1507 Complicaciones del puerperio O85-O92;Hombres;curación o mejoría;..
1507 Complicaciones del puerperio O85-O92;Hombres;traslado a otros centros;..
1507 Complicaciones del puerperio O85-O92;Hombres;fallecimiento;..
1507 Complicaciones del puerperio O85-O92;Hombres;otras causas;..
1507 Complicaciones del puerperio O85-O92;Mujeres;total;3.890
1507 Complicaciones del puerperio O85-O92;Mujeres;curación o mejoría;3.792
1507 Complicaciones del puerperio O85-O92;Mujeres;traslado a otros centros;50
1507 Complicaciones del puerperio O85-O92;Mujeres;fallecimiento;..
1507 Complicaciones del puerperio O85-O92;Mujeres;otras causas;48
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Ambos sexos;total;25.985
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Ambos sexos;curación o mejoría;25.491
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Ambos sexos;traslado a otros centros;272
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Ambos sexos;fallecimiento;4
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Ambos sexos;otras causas;217
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Hombres;total;..
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Hombres;curación o mejoría;..
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Hombres;traslado a otros centros;..
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Hombres;fallecimiento;..
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Hombres;otras causas;..
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Mujeres;total;25.985
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Mujeres;curación o mejoría;25.491
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Mujeres;traslado a otros centros;272
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Mujeres;fallecimiento;4
1508 Otras afecciones obstétricas no clasificadas en otra parte O94, O95-O99, O9A, O09;Mujeres;otras causas;217
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Ambos sexos;total;56.687
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Ambos sexos;curación o mejoría;53.730
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Ambos sexos;traslado a otros centros;1.823
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Ambos sexos;fallecimiento;421
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Ambos sexos;otras causas;713
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Hombres;total;31.386
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Hombres;curación o mejoría;29.736
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Hombres;traslado a otros centros;1.027
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Hombres;fallecimiento;240
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Hombres;otras causas;383
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Mujeres;total;25.301
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Mujeres;curación o mejoría;23.995
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Mujeres;traslado a otros centros;796
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Mujeres;fallecimiento;181
1600 CIERTAS ENFERMEDADES CON ORIGEN EN EL PERÍODO PERINATAL P00-P96;Mujeres;otras causas;329
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Ambos sexos;total;11.317
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Ambos sexos;curación o mejoría;10.399
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Ambos sexos;traslado a otros centros;496
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Ambos sexos;fallecimiento;216
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Ambos sexos;otras causas;206
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Hombres;total;6.162
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Hombres;curación o mejoría;5.686
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Hombres;traslado a otros centros;249
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Hombres;fallecimiento;129
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Hombres;otras causas;98
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Mujeres;total;5.155
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Mujeres;curación o mejoría;4.713
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Mujeres;traslado a otros centros;247
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Mujeres;fallecimiento;87
1601 Trastornos relacionados con gestación acortada y bajo peso en el nacimiento P07;Mujeres;otras causas;108
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Ambos sexos;total;45.369
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Ambos sexos;curación o mejoría;43.331
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Ambos sexos;traslado a otros centros;1.327
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Ambos sexos;fallecimiento;205
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Ambos sexos;otras causas;507
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Hombres;total;25.224
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Hombres;curación o mejoría;24.050
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Hombres;traslado a otros centros;778
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Hombres;fallecimiento;111
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Hombres;otras causas;286
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Mujeres;total;20.145
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Mujeres;curación o mejoría;19.282
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Mujeres;traslado a otros centros;549
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Mujeres;fallecimiento;94
1602 Otras condiciones con origen en el período perinatal Resto de P00-P96;Mujeres;otras causas;221
1700 ANOMALÍAS CONGNITAS Q00-Q99;Ambos sexos;total;30.200
1700 ANOMALÍAS CONGNITAS Q00-Q99;Ambos sexos;curación o mejoría;29.177
1700 ANOMALÍAS CONGNITAS Q00-Q99;Ambos sexos;traslado a otros centros;688
1700 ANOMALÍAS CONGNITAS Q00-Q99;Ambos sexos;fallecimiento;153
1700 ANOMALÍAS CONGNITAS Q00-Q99;Ambos sexos;otras causas;181
1700 ANOMALÍAS CONGNITAS Q00-Q99;Hombres;total;16.578
1700 ANOMALÍAS CONGNITAS Q00-Q99;Hombres;curación o mejoría;15.999
1700 ANOMALÍAS CONGNITAS Q00-Q99;Hombres;traslado a otros centros;377
1700 ANOMALÍAS CONGNITAS Q00-Q99;Hombres;fallecimiento;95
1700 ANOMALÍAS CONGNITAS Q00-Q99;Hombres;otras causas;107
1700 ANOMALÍAS CONGNITAS Q00-Q99;Mujeres;total;13.622
1700 ANOMALÍAS CONGNITAS Q00-Q99;Mujeres;curación o mejoría;13.179
1700 ANOMALÍAS CONGNITAS Q00-Q99;Mujeres;traslado a otros centros;311
1700 ANOMALÍAS CONGNITAS Q00-Q99;Mujeres;fallecimiento;58
1700 ANOMALÍAS CONGNITAS Q00-Q99;Mujeres;otras causas;74
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Ambos sexos;total;170.490
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Ambos sexos;curación o mejoría;152.899
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Ambos sexos;traslado a otros centros;9.287
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Ambos sexos;fallecimiento;5.179
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Ambos sexos;otras causas;3.125
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Hombres;total;91.948
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Hombres;curación o mejoría;82.322
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Hombres;traslado a otros centros;5.062
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Hombres;fallecimiento;2.778
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Hombres;otras causas;1.786
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Mujeres;total;78.542
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Mujeres;curación o mejoría;70.577
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Mujeres;traslado a otros centros;4.226
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Mujeres;fallecimiento;2.401
1800 SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE R00-R99;Mujeres;otras causas;1.339
1801 Dolor de garganta y en el pecho R07;Ambos sexos;total;16.752
1801 Dolor de garganta y en el pecho R07;Ambos sexos;curación o mejoría;16.025
1801 Dolor de garganta y en el pecho R07;Ambos sexos;traslado a otros centros;419
1801 Dolor de garganta y en el pecho R07;Ambos sexos;fallecimiento;48
1801 Dolor de garganta y en el pecho R07;Ambos sexos;otras causas;260
1801 Dolor de garganta y en el pecho R07;Hombres;total;9.713
1801 Dolor de garganta y en el pecho R07;Hombres;curación o mejoría;9.259
1801 Dolor de garganta y en el pecho R07;Hombres;traslado a otros centros;251
1801 Dolor de garganta y en el pecho R07;Hombres;fallecimiento;28
1801 Dolor de garganta y en el pecho R07;Hombres;otras causas;175
1801 Dolor de garganta y en el pecho R07;Mujeres;total;7.039
1801 Dolor de garganta y en el pecho R07;Mujeres;curación o mejoría;6.766
1801 Dolor de garganta y en el pecho R07;Mujeres;traslado a otros centros;169
1801 Dolor de garganta y en el pecho R07;Mujeres;fallecimiento;19
1801 Dolor de garganta y en el pecho R07;Mujeres;otras causas;84
1802 Dolor abdominal R10;Ambos sexos;total;17.357
1802 Dolor abdominal R10;Ambos sexos;curación o mejoría;16.239
1802 Dolor abdominal R10;Ambos sexos;traslado a otros centros;500
1802 Dolor abdominal R10;Ambos sexos;fallecimiento;189
1802 Dolor abdominal R10;Ambos sexos;otras causas;429
1802 Dolor abdominal R10;Hombres;total;6.687
1802 Dolor abdominal R10;Hombres;curación o mejoría;6.234
1802 Dolor abdominal R10;Hombres;traslado a otros centros;206
1802 Dolor abdominal R10;Hombres;fallecimiento;76
1802 Dolor abdominal R10;Hombres;otras causas;171
1802 Dolor abdominal R10;Mujeres;total;10.670
1802 Dolor abdominal R10;Mujeres;curación o mejoría;10.005
1802 Dolor abdominal R10;Mujeres;traslado a otros centros;295
1802 Dolor abdominal R10;Mujeres;fallecimiento;113
1802 Dolor abdominal R10;Mujeres;otras causas;257
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Ambos sexos;total;922
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Ambos sexos;curación o mejoría;658
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Ambos sexos;traslado a otros centros;186
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Ambos sexos;fallecimiento;62
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Ambos sexos;otras causas;16
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Hombres;total;483
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Hombres;curación o mejoría;347
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Hombres;traslado a otros centros;94
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Hombres;fallecimiento;34
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Hombres;otras causas;7
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Mujeres;total;440
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Mujeres;curación o mejoría;311
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Mujeres;traslado a otros centros;92
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Mujeres;fallecimiento;28
1803 Otras causas desconocidas no especificadas de morbilidad y mortalidad R69;Mujeres;otras causas;8
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Ambos sexos;total;135.459
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Ambos sexos;curación o mejoría;119.976
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Ambos sexos;traslado a otros centros;8.182
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Ambos sexos;fallecimiento;4.880
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Ambos sexos;otras causas;2.421
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Hombres;total;75.065
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Hombres;curación o mejoría;66.482
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Hombres;traslado a otros centros;4.511
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Hombres;fallecimiento;2.640
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Hombres;otras causas;1.431
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Mujeres;total;60.394
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Mujeres;curación o mejoría;53.494
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Mujeres;traslado a otros centros;3.671
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Mujeres;fallecimiento;2.240
1804 Otros síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte Resto de R00-R99;Mujeres;otras causas;989
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Ambos sexos;total;449.406
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Ambos sexos;curación o mejoría;391.834
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Ambos sexos;traslado a otros centros;38.313
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Ambos sexos;fallecimiento;12.710
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Ambos sexos;otras causas;6.550
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Hombres;total;228.239
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Hombres;curación o mejoría;200.408
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Hombres;traslado a otros centros;17.777
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Hombres;fallecimiento;6.315
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Hombres;otras causas;3.739
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Mujeres;total;221.167
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Mujeres;curación o mejoría;191.426
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Mujeres;traslado a otros centros;20.536
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Mujeres;fallecimiento;6.395
1900 LESIONES Y ENVENENAMIENTOS S00-T88;Mujeres;otras causas;2.811
1901 Traumatismo intracraneal S06;Ambos sexos;total;27.985
1901 Traumatismo intracraneal S06;Ambos sexos;curación o mejoría;21.143
1901 Traumatismo intracraneal S06;Ambos sexos;traslado a otros centros;3.167
1901 Traumatismo intracraneal S06;Ambos sexos;fallecimiento;3.051
1901 Traumatismo intracraneal S06;Ambos sexos;otras causas;623
1901 Traumatismo intracraneal S06;Hombres;total;15.629
1901 Traumatismo intracraneal S06;Hombres;curación o mejoría;11.627
1901 Traumatismo intracraneal S06;Hombres;traslado a otros centros;1.850
1901 Traumatismo intracraneal S06;Hombres;fallecimiento;1.752
1901 Traumatismo intracraneal S06;Hombres;otras causas;400
1901 Traumatismo intracraneal S06;Mujeres;total;12.356
1901 Traumatismo intracraneal S06;Mujeres;curación o mejoría;9.517
1901 Traumatismo intracraneal S06;Mujeres;traslado a otros centros;1.317
1901 Traumatismo intracraneal S06;Mujeres;fallecimiento;1.298
1901 Traumatismo intracraneal S06;Mujeres;otras causas;223
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Ambos sexos;total;14.960
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Ambos sexos;curación o mejoría;13.458
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Ambos sexos;traslado a otros centros;833
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Ambos sexos;fallecimiento;306
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Ambos sexos;otras causas;363
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Hombres;total;9.916
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Hombres;curación o mejoría;8.970
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Hombres;traslado a otros centros;530
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Hombres;fallecimiento;182
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Hombres;otras causas;234
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Mujeres;total;5.044
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Mujeres;curación o mejoría;4.488
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Mujeres;traslado a otros centros;302
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Mujeres;fallecimiento;124
1902 Otros traumatismos de la cabeza S00-S05, S07-S09;Mujeres;otras causas;130
1903 Fractura de radio y cúbito S52;Ambos sexos;total;28.780
1903 Fractura de radio y cúbito S52;Ambos sexos;curación o mejoría;27.424
1903 Fractura de radio y cúbito S52;Ambos sexos;traslado a otros centros;1.082
1903 Fractura de radio y cúbito S52;Ambos sexos;fallecimiento;37
1903 Fractura de radio y cúbito S52;Ambos sexos;otras causas;237
1903 Fractura de radio y cúbito S52;Hombres;total;12.928
1903 Fractura de radio y cúbito S52;Hombres;curación o mejoría;12.283
1903 Fractura de radio y cúbito S52;Hombres;traslado a otros centros;516
1903 Fractura de radio y cúbito S52;Hombres;fallecimiento;18
1903 Fractura de radio y cúbito S52;Hombres;otras causas;112
1903 Fractura de radio y cúbito S52;Mujeres;total;15.851
1903 Fractura de radio y cúbito S52;Mujeres;curación o mejoría;15.141
1903 Fractura de radio y cúbito S52;Mujeres;traslado a otros centros;566
1903 Fractura de radio y cúbito S52;Mujeres;fallecimiento;19
1903 Fractura de radio y cúbito S52;Mujeres;otras causas;125
1904 Fractura del fémur S72;Ambos sexos;total;75.850
1904 Fractura del fémur S72;Ambos sexos;curación o mejoría;59.088
1904 Fractura del fémur S72;Ambos sexos;traslado a otros centros;12.245
1904 Fractura del fémur S72;Ambos sexos;fallecimiento;3.646
1904 Fractura del fémur S72;Ambos sexos;otras causas;870
1904 Fractura del fémur S72;Hombres;total;22.819
1904 Fractura del fémur S72;Hombres;curación o mejoría;17.510
1904 Fractura del fémur S72;Hombres;traslado a otros centros;3.671
1904 Fractura del fémur S72;Hombres;fallecimiento;1.345
1904 Fractura del fémur S72;Hombres;otras causas;293
1904 Fractura del fémur S72;Mujeres;total;53.031
1904 Fractura del fémur S72;Mujeres;curación o mejoría;41.578
1904 Fractura del fémur S72;Mujeres;traslado a otros centros;8.574
1904 Fractura del fémur S72;Mujeres;fallecimiento;2.301
1904 Fractura del fémur S72;Mujeres;otras causas;577
1905 Fractura de la pierna, incluido el tobillo S82;Ambos sexos;total;42.564
1905 Fractura de la pierna, incluido el tobillo S82;Ambos sexos;curación o mejoría;39.236
1905 Fractura de la pierna, incluido el tobillo S82;Ambos sexos;traslado a otros centros;2.765
1905 Fractura de la pierna, incluido el tobillo S82;Ambos sexos;fallecimiento;127
1905 Fractura de la pierna, incluido el tobillo S82;Ambos sexos;otras causas;437
1905 Fractura de la pierna, incluido el tobillo S82;Hombres;total;19.706
1905 Fractura de la pierna, incluido el tobillo S82;Hombres;curación o mejoría;18.177
1905 Fractura de la pierna, incluido el tobillo S82;Hombres;traslado a otros centros;1.272
1905 Fractura de la pierna, incluido el tobillo S82;Hombres;fallecimiento;31
1905 Fractura de la pierna, incluido el tobillo S82;Hombres;otras causas;226
1905 Fractura de la pierna, incluido el tobillo S82;Mujeres;total;22.858
1905 Fractura de la pierna, incluido el tobillo S82;Mujeres;curación o mejoría;21.059
1905 Fractura de la pierna, incluido el tobillo S82;Mujeres;traslado a otros centros;1.493
1905 Fractura de la pierna, incluido el tobillo S82;Mujeres;fallecimiento;95
1905 Fractura de la pierna, incluido el tobillo S82;Mujeres;otras causas;211
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Ambos sexos;total;130.632
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Ambos sexos;curación o mejoría;117.921
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Ambos sexos;traslado a otros centros;9.339
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Ambos sexos;fallecimiento;1.556
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Ambos sexos;otras causas;1.816
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Hombres;total;80.952
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Hombres;curación o mejoría;73.742
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Hombres;traslado a otros centros;5.158
1906 Otros traumatismos  S10-S51, S53-S71, S73-S81, S83-T14, T79;Hombres;fallecimiento;858
